timestamp,dateiname,provider,batch_nummer,batch_total,anzahl_eintraege,dauer_sekunden,status,input_tokens,output_tokens,fehler_msg
2025-12-24T22:01:15.132769,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,2,19,200,1.99,success,11015,16,
2025-12-24T22:01:15.139758,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,3,19,200,2.0,success,10883,16,
2025-12-24T22:01:15.184257,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,4,19,200,2.04,success,11396,16,
2025-12-24T22:01:15.420865,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,1,19,200,2.28,success,11648,16,
2025-12-24T22:01:17.014361,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,6,19,200,1.87,success,11908,16,
2025-12-24T22:01:17.014610,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,7,19,200,1.83,success,11838,16,
2025-12-24T22:01:17.034658,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,8,19,200,1.61,success,11891,16,
2025-12-24T22:01:17.475107,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,5,19,200,2.34,success,12034,16,
2025-12-24T22:01:18.810749,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,9,19,200,1.8,success,11118,16,
2025-12-24T22:01:18.829615,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,10,19,200,1.81,success,10020,16,
2025-12-24T22:01:19.044495,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,11,19,200,2.01,success,10227,16,
2025-12-24T22:01:19.477426,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,12,19,200,2.0,success,11151,16,
2025-12-24T22:01:20.596847,08_WS_August24_Monatskatalog_zumDownload (1).pdf,GPT-5.1,14,19,200,1.77,success,12065,16,
